Company_Name,Ticker,Current_Price,Market_Cap,Enterprise_Value,PER,Forward_PER,PEG_Ratio,PBV,PS_Ratio,PC_Ratio,EV_EBITDA,EV_Revenue,Gross_Margin,Operating_Margin,Net_Profit_Margin,ROA,ROE,ROIC,Revenue_Growth_YoY,Earnings_Growth_YoY,Current_Ratio,Quick_Ratio,Debt_to_Equity,Debt_to_Assets,Interest_Coverage,Dividend_Yield,Dividend_Rate,Payout_Ratio,Beta,52_Week_High,52_Week_Low,Avg_Volume,Shares_Outstanding,Float_Shares,EPS_TTM,Book_Value_Per_Share,Revenue_Per_Share,Free_Cash_Flow_Per_Share,EBITDA,Total_Revenue,Net_Income,Total_Debt,Total_Cash,Free_Cash_Flow,Operating_Cash_Flow,Sector,Industry,Detailed_Industry,analyst_target,analyst_recommendation,short_interest,institutional_ownership
PT Bank BTPN Syariah Tbk,BTPS.JK,1000.0,7703700176896,6046524375040,6.369,5.5081,0.41,0.7495,1.934,,,1.518,,,25.3647,5.2799,,,0.034,0.028,,,,0.1297,,1220.0,120.2,0.4713,0.377,1630.0,955.0,6813670,7703700000,2310570741.0,157.01,1334.199,517.071,,,3983356985344,1209873989632,27204999168,1571359948800,,1494925967360,Financial Services,Banks - Regional,Banking,1494.375,strong_buy,,0.17611
PT Bank CIMB Niaga Tbk,BNGA.JK,1690.0,42732273795072,28052069285888,6.216,5.9734,,0.7333,2.4063,,,1.58,,,35.3776,1.8451,,,0.063,-0.049,,,,3.3316,,969.0,161.77,0.5693,0.147,1920.0,1640.0,5934372,0,71901884.0,271.88,2304.64,706.395,,,17758861393920,6876536766464,24529900404736,38679825350656,,-6691461005312,Financial Services,Banks - Regional,Banking,2146.0,strong_buy,,0.02088
PT Bank Central Asia Tbk,BBCA.JK,6025.0,740329351282688,621586725994496,12.8993,12.4876,1.92,2.857,6.8152,,,5.722,,,50.3302,3.6259,,,0.025,0.037,,,,0.151,,565.0,336.0,0.6531,0.013,9800.0,5800.0,159117422,122876240600,48242440822.0,467.08,2108.889,882.093,,,108629243985920,58075281096704,2733053050880,112486367887360,,-5334070984704,Financial Services,Banks - Regional,Banking,8965.869,strong_buy,,0.18818001
PT Bank Danamon Indonesia Tbk,BDMN.JK,4080.0,39876095377408,89737964552192,10.0401,11.4807,0.5,1.3585,2.0671,,,4.652,,,17.5014,1.4402,,,0.273,0.494,,,,7.2026,,349.0,142.19,0.2802,,4800.0,2310.0,7595288,22400000,1287445760.0,406.37,3003.4,1973.832,,,19291221000192,4263605960704,27799226155008,14493445783552,,-8756219871232,Financial Services,Banks - Regional,Banking,2590.0,none,,0.00347
PT Bank Jago Tbk,ARTO.JK,1240.0,17188050173952,17405919100928,58.3804,45.4545,0.92,1.9274,7.9015,,,8.002,,,10.7664,0.7567,,,0.266,0.408,,,,0.1396,,,,0.0,0.803,2440.0,1225.0,4457166,13861330900,3849846044.0,21.24,643.37,156.932,,,2175290966016,301738000384,3213250002944,2926074920960,,-2351304015872,Financial Services,Banks - Regional,Banking,2079.8572,buy,,0.109189995
PT Bank Mandiri (Persero) Tbk,BMRI.JK,4590.0,428400002990080,523806158356480,7.6064,6.9181,1.71,1.4034,2.9481,,,3.605,,,40.1603,1.9892,,,0.015,0.167,,,,7.7315,,1058.0,476.96,0.9386,0.016,5575.0,4010.0,157816661,93333333331,37565169093.0,603.44,3270.589,1557.516,,,145312534495232,58480819961856,276390641401856,182100674215936,,-255023564980224,Financial Services,Banks - Regional,Banking,5724.9546,buy,,0.2518
PT Bank Negara Indonesia (Persero) Tbk,BBNI.JK,3910.0,145674083500032,115605495611392,7.1742,5.7965,2.94,0.8483,2.8697,,,2.277,,,34.6067,1.4714,,,0.078,0.052,,,,5.1805,,912.0,349.41,1.3275,0.203,4730.0,3510.0,64536064,578683733,15056179278.0,545.01,4609.364,1361.015,,,50762184916992,20320993935360,79809694662656,111583057412096,,-148624340156416,Financial Services,Banks - Regional,Banking,4825.773,buy,,0.16153
PT Bank OCBC NISP Tbk,NISP.JK,1345.0,30861424590848,49240172658688,6.0211,,,0.7037,2.4263,,,3.871,,,38.6333,1.6413,,,-0.036,0.053,,,,0.5952,,336.0,45.0,0.4745,,1590.0,1300.0,5962938,22945296972,3418619796.0,223.38,1911.344,554.333,,,12719562424320,5126397886464,23953714184192,5460503035904,,6067804176384,Financial Services,Banks - Regional,Banking,,none,,0.88644
PT Bank Pan Indonesia Tbk,PNBN.JK,1035.0,24914388058112,26690736619520,9.1707,8.9371,0.36,0.4532,2.5489,,,2.731,,,26.4422,1.1588,,,0.336,0.149,,,,4.0333,,412.0,42.0,0.3676,-0.374,1580.0,935.0,5791933,24071873098,3632927088.0,112.86,2283.786,406.059,,,9774751023104,2750043914240,16820774895616,18481347035136,,-5473180844032,Financial Services,Banks - Regional,Banking,1130.0,none,,0.0159
PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,BJBR.JK,895.0,9416691679232,37883402518528,8.0842,4.3659,0.42,0.5543,1.0368,,,4.171,,,10.5024,0.5208,,,0.005,0.029,,,,13.53,,967.0,85.54,0.7702,0.125,895.0,745.0,4398487,3106729025,2458019674.0,110.71,1614.596,863.243,,,9082726514688,1164546015232,37300675280896,12402762448896,,6051375087616,Financial Services,Banks - Regional,Banking,,none,,0.030869998
